cutoff_week,model,n_train,n_calib,n_test,calibrator,auroc,recall,precision,f1,accuracy,brier_uncal,brier_cal,ece_uncal,ece_cal
5,hgb,19555,6519,6519,isotonic,0.8527395908652545,0.7219639744334689,0.8247593760371722,0.7699457784663052,0.7722043258168431,0.1542965780867217,0.15486271378561942,0.014642648322891489,0.01874618838367737
5,logreg,19555,6519,6519,isotonic,0.8296501550273561,0.7199302730970366,0.7817034700315457,0.7495462794918331,0.7459733087896917,0.1681509141364364,0.16739723811766813,0.032722474401988264,0.022024332316050204
5,rf,19555,6519,6519,isotonic,0.8463116065910091,0.7074375363160953,0.8279496769806188,0.7629641234529219,0.7679091885258476,0.15772514175091115,0.15876410077404798,0.02132575874438821,0.025260976732056406
10,hgb,19555,6519,6519,isotonic,0.9049937428205783,0.7789076118535735,0.8778650949574329,0.8254310344827587,0.8260469397146801,0.12076282069212295,0.12169380635107666,0.012800835801513278,0.019076262919324675
10,logreg,19555,6519,6519,isotonic,0.893740403439362,0.7815223707147008,0.8627325208466966,0.8201219512195121,0.818990642736616,0.12807942727706365,0.12776246791397033,0.014710401082165231,0.014245039844657019
10,rf,19555,6519,6519,isotonic,0.901984499341613,0.7911098198721673,0.8691350143632302,0.8282889733840304,0.8268139285166437,0.12276745765351156,0.12300477055243027,0.023757984964533366,0.01654879941081947
15,hgb,19555,6519,6519,isotonic,0.9318400828474349,0.7893666472980825,0.9238354301258076,0.8513238289205702,0.8544255253873293,0.10140175634670995,0.10139983333479018,0.012834966596623844,0.010308270339467657
15,logreg,19555,6519,6519,isotonic,0.918245565069473,0.7902382335851249,0.8953258722843976,0.8395061728395061,0.8404663291915938,0.1115651390510859,0.11208140617221252,0.016401310551673595,0.009624217506887089
15,rf,19555,6519,6519,isotonic,0.929687696215497,0.8239395700174317,0.8907035175879398,0.8560217325686689,0.8536585365853658,0.10265667835134655,0.10298293002267515,0.016773487062359704,0.008018380365617998
25,hgb,19555,6519,6519,isotonic,0.9688899119764889,0.8773968622893666,0.9490886235072281,0.9118357487922706,0.9104157079306642,0.0652701927315685,0.06519181943516691,0.013625184377376979,0.00947025472575253
25,logreg,19555,6519,6519,isotonic,0.9600347803623328,0.8532829750145264,0.9431599229287091,0.8959731543624161,0.8953827274121798,0.07443831099531399,0.07455106854611146,0.014559012336490403,0.00987022944110494
25,rf,19555,6519,6519,isotonic,0.968516388484826,0.8739105171411969,0.9564387917329094,0.9133141035372704,0.9124098788157693,0.06527064936837734,0.06485882884935415,0.017233501758445385,0.005580064275338081
