cutoff_week,model,n_train,n_calib,n_test,n_unique_test_students,calibrator,auroc_calibrated,recall_at_0.5,precision_at_0.5,f1_at_0.5,accuracy_at_0.5,brier_calibrated,ece_calibrated
5,logreg,16392,5373,5464,4937,isotonic,0.7602385760028131,0.5499362515937102,0.6998377501352082,0.6158971918134222,0.7046120058565154,0.1945189984013811,0.009942641812901836
5,rf,16392,5373,5464,4937,isotonic,0.7744258579327866,0.5932851678708032,0.707193515704154,0.6452507510977583,0.7190702781844802,0.1879754743160546,0.01973468773570487
5,hgb,16392,5373,5464,4937,isotonic,0.7795913708714659,0.5843603909902253,0.7180156657963447,0.6443298969072165,0.722181551976574,0.1851040562638833,0.020197126929760032
10,logreg,15674,5172,5216,4751,isotonic,0.823981451049293,0.6055133079847909,0.7633313361294188,0.6753246753246753,0.7651457055214724,0.16052902573523722,0.016131672123461352
10,rf,15674,5172,5216,4751,isotonic,0.8395849165990596,0.6283269961977186,0.7804014167650531,0.6961558715113217,0.7787576687116564,0.15248990762956582,0.017124689578032915
10,hgb,15674,5172,5216,4751,isotonic,0.8434675321581123,0.6378326996197718,0.7655447803764974,0.6958776250972258,0.7751150306748467,0.15129808410879,0.017231244039653967
15,logreg,15121,4979,5032,4615,isotonic,0.8609221997148571,0.648775403856175,0.7894736842105263,0.7122425629290617,0.8000794912559619,0.1396675751036213,0.01281330463407573
15,rf,15121,4979,5032,4615,isotonic,0.8748265564886413,0.6232412714955706,0.8573476702508961,0.7217863608931805,0.8167726550079492,0.1304104174286978,0.014281475600552169
15,hgb,15121,4979,5032,4615,isotonic,0.8795731628212106,0.651902032308494,0.8306772908366534,0.7305109489051095,0.8165739268680445,0.1284292124405008,0.016184495246099384
25,logreg,14034,4653,4698,4377,isotonic,0.9271287295264291,0.7003154574132492,0.8851674641148325,0.7819654808030997,0.8682418050234142,0.0949467537729048,0.010243220915518035
25,rf,14034,4653,4698,4377,isotonic,0.9391849180347804,0.7476340694006309,0.8970476911430735,0.8155540261527874,0.8859088974031503,0.08493567843670595,0.013473835088975364
25,hgb,14034,4653,4698,4377,isotonic,0.9387783600065261,0.7299684542586751,0.9182539682539682,0.8133567662565905,0.8869731800766284,0.08309831679384483,0.007681904472434942
