family_member,gap,p,p_holm,p_bh,sig_holm,sig_bh
fpr_imd_wk5,0.020925666199158477,0.27417258274172585,1.0,0.3870671756353777,False,False
fpr_disability_wk5,-0.014636174636174643,0.5603439656034397,1.0,0.6724127587241276,False,False
fpr_imd_wk10,0.04308606006275213,0.011398860113988602,0.21657834216578342,0.04559544045595441,False,True
fpr_disability_wk10,0.02935440546060014,0.24117588241175883,1.0,0.38588141185881414,False,False
fpr_imd_wk15,0.051042133572389056,0.00039996000399960006,0.009599040095990401,0.009599040095990401,True,True
fpr_disability_wk15,0.04526547139910063,0.035596440355964404,0.6051394860513949,0.10678932106789321,False,False
fpr_imd_wk25,0.0185342895562528,0.050794920507949204,0.8127187281271873,0.1219078092190781,False,False
fpr_disability_wk25,0.031119053676689216,0.050794920507949204,0.8127187281271873,0.1219078092190781,False,False
fpr_imd_failonly_wk5,0.0306687001756995,0.0099900099900099,0.199800199800198,0.04559544045595441,False,True
fpr_imd_failonly_wk10,0.0622529644268774,0.0019980019980019,0.0459540459540437,0.0119880119880114,True,True
fpr_imd_failonly_wk15,0.0396707248473159,0.0019980019980019,0.0459540459540437,0.0119880119880114,True,True
fpr_imd_failonly_wk25,0.0335992514896341,0.0019980019980019,0.0459540459540437,0.0119880119880114,True,True
faith_raw_wk5,-0.0190214443831575,0.4271457085828343,1.0,0.5695276114437791,False,False
faith_std_wk5,-0.003083379693233,0.8942115768463074,1.0,0.8942115768463074,False,False
faith_raw_wk10,0.0300942394629687,0.2594810379241516,1.0,0.3870671756353777,False,False
faith_std_wk10,0.0115650905611806,0.6506986027944112,1.0,0.7436555460507557,False,False
faith_raw_wk15,0.0484773064634622,0.1397205588822355,1.0,0.25794564716720403,False,False
faith_std_wk15,0.0077140434496614,0.7624750499001997,1.0,0.7956261390262952,False,False
faith_raw_wk25,0.0556045157432731,0.0998003992015968,1.0,0.21774632553075668,False,False
faith_std_wk25,-0.0190804619990597,0.6986027944111777,1.0,0.7621121393576483,False,False
cf_raw_wk5,0.0229162001023955,0.12375249500998,1.0,0.24750499001996,False,False
cf_std_wk5,0.0182992725536684,0.2275449101796407,1.0,0.38588141185881414,False,False
cf_raw_wk15,0.0260474049706545,0.0239520958083832,0.4311377245508976,0.08212147134302812,False,False
cf_std_wk15,0.0058092408103566,0.5109780439121756,1.0,0.6454459502048534,False,False
