code_module,code_presentation,id_student,fold,split
AAA,2013J,11391,2,train
AAA,2013J,28400,2,train
AAA,2013J,30268,1,calib
AAA,2013J,31604,0,test
AAA,2013J,32885,1,calib
AAA,2013J,38053,4,train
AAA,2013J,45462,4,train
AAA,2013J,45642,1,calib
AAA,2013J,52130,3,train
AAA,2013J,53025,3,train
AAA,2013J,57506,3,train
AAA,2013J,58873,2,train
AAA,2013J,59185,4,train
AAA,2013J,62155,1,calib
AAA,2013J,63400,2,train
AAA,2013J,65002,2,train
AAA,2013J,70464,2,train
AAA,2013J,71361,0,test
AAA,2013J,74372,3,train
AAA,2013J,75091,2,train
AAA,2013J,77367,3,train
AAA,2013J,91265,0,test
AAA,2013J,94961,0,test
AAA,2013J,98094,3,train
AAA,2013J,100893,4,train
AAA,2013J,101781,3,train
AAA,2013J,102806,0,test
AAA,2013J,102952,2,train
AAA,2013J,104476,1,calib
AAA,2013J,106247,2,train
AAA,2013J,106577,1,calib
AAA,2013J,110175,4,train
AAA,2013J,111717,1,calib
AAA,2013J,113295,1,calib
AAA,2013J,114017,2,train
AAA,2013J,114999,0,test
AAA,2013J,116541,1,calib
AAA,2013J,116692,1,calib
AAA,2013J,118983,0,test
AAA,2013J,123044,3,train
AAA,2013J,127582,4,train
AAA,2013J,129955,4,train
AAA,2013J,132976,2,train
AAA,2013J,134143,2,train
AAA,2013J,135335,2,train
AAA,2013J,135400,3,train
AAA,2013J,137873,1,calib
AAA,2013J,141355,0,test
AAA,2013J,141377,1,calib
AAA,2013J,142326,3,train
AAA,2013J,144801,2,train
AAA,2013J,145130,2,train
AAA,2013J,146188,4,train
AAA,2013J,147756,0,test
AAA,2013J,147793,1,calib
AAA,2013J,148993,1,calib
AAA,2013J,151358,1,calib
AAA,2013J,155550,4,train
AAA,2013J,155854,4,train
AAA,2013J,155984,3,train
AAA,2013J,157568,1,calib
AAA,2013J,159954,3,train
AAA,2013J,164259,4,train
AAA,2013J,167906,0,test
AAA,2013J,168936,2,train
AAA,2013J,172112,3,train
AAA,2013J,172797,4,train
AAA,2013J,174782,1,calib
AAA,2013J,175392,4,train
AAA,2013J,175932,2,train
AAA,2013J,175991,4,train
AAA,2013J,180753,0,test
AAA,2013J,181316,4,train
AAA,2013J,183096,2,train
AAA,2013J,183947,3,train
AAA,2013J,184271,2,train
AAA,2013J,185439,4,train
AAA,2013J,186149,0,test
AAA,2013J,187100,3,train
AAA,2013J,188278,3,train
AAA,2013J,189879,4,train
AAA,2013J,192183,4,train
AAA,2013J,195262,2,train
AAA,2013J,200860,3,train
AAA,2013J,202635,2,train
AAA,2013J,205350,3,train
AAA,2013J,205719,4,train
AAA,2013J,227499,0,test
AAA,2013J,227517,1,calib
AAA,2013J,228082,2,train
AAA,2013J,228222,1,calib
AAA,2013J,229179,0,test
AAA,2013J,229361,3,train
AAA,2013J,231554,3,train
AAA,2013J,235507,2,train
AAA,2013J,236284,4,train
AAA,2013J,238007,3,train
AAA,2013J,240712,3,train
AAA,2013J,240884,0,test
AAA,2013J,241649,2,train
AAA,2013J,241729,4,train
AAA,2013J,242793,1,calib
AAA,2013J,246834,0,test
AAA,2013J,248270,0,test
AAA,2013J,255548,4,train
AAA,2013J,256815,2,train
AAA,2013J,258392,2,train
AAA,2013J,258894,1,calib
AAA,2013J,260355,1,calib
AAA,2013J,262011,1,calib
AAA,2013J,262934,1,calib
AAA,2013J,268073,4,train
AAA,2013J,268733,2,train
AAA,2013J,271251,4,train
AAA,2013J,277880,3,train
AAA,2013J,279572,4,train
AAA,2013J,281022,2,train
AAA,2013J,281250,3,train
AAA,2013J,281589,1,calib
AAA,2013J,282821,3,train
AAA,2013J,286488,3,train
AAA,2013J,287548,3,train
AAA,2013J,290201,4,train
AAA,2013J,290757,4,train
AAA,2013J,291334,1,calib
