cutoff_week,policy,threshold,n,flagged,flag_rate,tpr,fpr,precision,f1
5,fixed_0.5,0.5,5464,1915,0.3504758418740849,0.5843603909902253,0.17357762777242045,0.7180156657963447,0.6443298969072165
5,recall_constrained,0.31213872832369943,5464,3341,0.6114568081991215,0.8125796855078623,0.4593378334940534,0.5722837473810236,0.6715841236389182
5,budget,0.59,5464,1413,0.258601756954612,0.4764130896727582,0.09386049501767921,0.7933474876150035,0.5953266064790228
5,equal_fpr_diagnostic_deprived,0.34113712374581934,1645,1064,0.6468085106382979,0.8160919540229885,0.4567741935483871,0.6672932330827067,0.734229576008273
5,equal_fpr_diagnostic_affluent,0.30120481927710846,1469,933,0.6351259360108917,0.819672131147541,0.525,0.48231511254019294,0.6072874493927125
10,fixed_0.5,0.5,5216,1753,0.33608128834355827,0.6378326996197718,0.13206940874035988,0.7655447803764974,0.6958776250972258
10,recall_constrained,0.3155149934810952,5216,3032,0.5812883435582822,0.8521863117870723,0.3981362467866324,0.591358839050132,0.698208722741433
10,budget,0.5806451612903226,5216,1322,0.2534509202453988,0.5370722433460076,0.061696658097686374,0.8547655068078669,0.6596614127262114
10,equal_fpr_diagnostic_deprived,0.3155149934810952,1545,1047,0.6776699029126214,0.8790637191157347,0.47809278350515466,0.6456542502387774,0.7444933920704846
10,equal_fpr_diagnostic_affluent,0.2159090909090909,1411,783,0.554925584691708,0.8594704684317719,0.3923913043478261,0.5389527458492975,0.6624803767660911
15,fixed_0.5,0.5,5032,1506,0.2992845786963434,0.651902032308494,0.08191455187921619,0.8306772908366534,0.7305109489051095
15,recall_constrained,0.33195020746887965,5032,2289,0.4548887122416534,0.8071912454403335,0.23771281721811757,0.6767147225862822,0.7362167300380228
15,budget,0.6,5032,1273,0.25298092209856915,0.5914538822303282,0.044330228075811114,0.8915946582875098,0.7111528822055138
15,equal_fpr_diagnostic_deprived,0.33195020746887965,1493,834,0.5586068318821166,0.8451882845188284,0.29381443298969073,0.7266187050359713,0.781431334622824
15,equal_fpr_diagnostic_affluent,0.251937984496124,1359,586,0.4311994113318617,0.8041002277904328,0.2532608695652174,0.6023890784982935,0.688780487804878
25,fixed_0.5,0.5,4698,1260,0.2681992337164751,0.7299684542586751,0.03308705428846771,0.9182539682539682,0.8133567662565905
25,recall_constrained,0.3125,4698,1748,0.3720732226479353,0.849211356466877,0.12913588178605848,0.7700228832951945,0.8076807680768077
25,budget,0.66,4698,1191,0.25351213282247764,0.7041009463722397,0.024092515258592996,0.9370277078085643,0.8040345821325648
25,equal_fpr_diagnostic_deprived,0.3125,1374,655,0.47671033478893743,0.8896321070234113,0.15850515463917525,0.8122137404580153,0.8491620111731844
25,equal_fpr_diagnostic_affluent,0.23636363636363636,1289,457,0.35453840186190844,0.8265582655826558,0.16521739130434782,0.6673960612691466,0.738498789346247
