dataset,snapshot,label,model,appendix,positive_rate,n_test,auroc,recall,f1,brier_cal,ece_uncal,ece_cal
UCI,T0,primary,logreg,False,0.391643709825528,726,0.7621805493595054,0.4823943661971831,0.5580448065173116,0.19435835536750795,0.08615856728319567,0.02891364122287345
UCI,T0,primary,rf,False,0.391643709825528,726,0.7488767446306799,0.5316901408450704,0.5909980430528375,0.1933335530216153,0.041501377410468346,0.027091149582433523
UCI,T0,primary,hgb,False,0.391643709825528,726,0.7405837741380409,0.4295774647887324,0.5258620689655172,0.20166140063815732,0.08704248501007777,0.04294348175148075
UCI,T0,fold,logreg,False,0.3214016578749058,885,0.7485411637880528,0.4014084507042254,0.4935064935064935,0.18285265094669273,0.14317195047585002,0.03359447439398863
UCI,T0,fold,rf,False,0.3214016578749058,885,0.7168275878231117,0.4154929577464789,0.48760330578512395,0.1904530695632478,0.027781544256120554,0.022725992026469483
UCI,T0,fold,hgb,False,0.3214016578749058,885,0.7194874739284293,0.29225352112676056,0.4068627450980392,0.1905472737068171,0.10382160963957514,0.040033083590284464
UCI,T1,primary,logreg,False,0.391643709825528,726,0.9199302147727997,0.7183098591549296,0.7876447876447876,0.10549860353063938,0.05239969730672906,0.03908824653892549
UCI,T1,primary,rf,False,0.391643709825528,726,0.9073871964820599,0.7394366197183099,0.8,0.11007012133413527,0.07198806244260791,0.035402132842375963
UCI,T1,primary,hgb,False,0.391643709825528,726,0.906554712892741,0.7676056338028169,0.8044280442804428,0.10737887233499606,0.05658192877790899,0.023716821016678942
UCI,T1,fold,logreg,False,0.3214016578749058,885,0.880059056502074,0.6302816901408451,0.69921875,0.12566578181198348,0.095956551122209,0.028998672847077335
UCI,T1,fold,rf,False,0.3214016578749058,885,0.8572713318178623,0.6619718309859155,0.6848816029143898,0.13261647032075793,0.038858757062146906,0.04037782510872602
UCI,T1,fold,hgb,False,0.3214016578749058,885,0.8618265332427175,0.5950704225352113,0.678714859437751,0.13175405316219688,0.07325306945951285,0.019389224888852294
UCI,T2,primary,logreg,True,0.391643709825528,726,0.9427856733159136,0.8028169014084507,0.8603773584905661,0.08267494264004965,0.03743246523888046,0.030538384289028535
UCI,T2,primary,rf,True,0.391643709825528,726,0.9402205085717927,0.7887323943661971,0.8517110266159695,0.08345350159353368,0.06236455463728189,0.021899476421386857
UCI,T2,primary,hgb,True,0.391643709825528,726,0.936197501752597,0.7605633802816901,0.8503937007874016,0.08347653948489457,0.05465305082326893,0.025181895071036697
UCI,T2,fold,logreg,True,0.3214016578749058,885,0.9030371915352347,0.647887323943662,0.7374749498997996,0.11153638801938597,0.07746629208962749,0.0395630176110721
UCI,T2,fold,rf,True,0.3214016578749058,885,0.8908509292025029,0.6549295774647887,0.7251461988304093,0.11619145747426583,0.03256120527306967,0.034327319602223086
UCI,T2,fold,hgb,True,0.3214016578749058,885,0.8884664057556654,0.6267605633802817,0.7206477732793523,0.11488297987953096,0.06904043968668691,0.01687455834384495
